,SPX,VIX,ST,MT,SPXC,VIXC,STC,MTC,VIXRA52,STRA52,MTRA52,VIXRP52,STRP52,MTRP52,VS030,VIXRA26,STRA26,MTRA26
2006-12-15,1427.09,10.05,49603.58,80030.35,0.012235431,-0.167357084,-0.032246875,0.023213013,-0.100919517,-0.207883435,-0.260813964,-0.075442209,-0.147463938,-0.064085654,0.806142035,-0.106100851,-0.202885806,-0.233590503
2006-12-22,1410.77,11.36,49376,80345.49,-0.011435859,0.130348259,-0.004587975,0.003937756,-0.100808953,-0.206121687,-0.259050743,-0.075442209,-0.147463938,-0.064085654,0.891599767,-0.108581085,-0.204165876,-0.227047635
2006-12-29,1418.3,11.56,47817.29,80886.81,0.005337511,0.017605634,-0.031568171,0.006737404,-0.098090621,-0.200263739,-0.246948554,-0.072521417,-0.141072782,-0.063849494,0.920780137,-0.10819139,-0.206112448,-0.226930675
2007-01-05,1409.71,12.14,48746.66,80814.82,-0.006056547,0.05017301,0.019435857,-0.000890009,-0.098364904,-0.201741935,-0.247461406,-0.070301776,-0.140722712,-0.058667157,0.937762083,-0.117290265,-0.220295678,-0.165642642
2007-01-12,1430.73,10.15,43482.37,77430.43,0.014910868,-0.163920923,-0.107992835,-0.041878334,-0.100480754,-0.19313644,-0.241964928,-0.067421469,-0.129185032,-0.061425828,0.869432208,-0.11149972,-0.207355774,-0.199548288
2007-01-19,1430.5,10.4,42208.82,75590.21,-0.000160757,0.024630542,-0.029288882,-0.023766108,-0.101347116,-0.190482745,-0.231333382,-0.06926005,-0.127494706,-0.052839949,0.898664572,-0.104459792,-0.191670684,-0.138623818
2007-01-26,1422.18,11.13,42690.01,74160.07,-0.005816148,0.070192308,0.011400224,-0.018919646,-0.100123813,-0.189841567,-0.2227961,-0.06926005,-0.127494706,-0.052839949,0.926837973,-0.105257474,-0.200295237,-0.128757186
2007-02-02,1448.39,10.08,40621.44,73414.34,0.018429453,-0.094339623,-0.048455599,-0.010055681,-0.101208641,-0.192358185,-0.225206181,-0.068176028,-0.125784026,-0.044382743,0.868323899,-0.106974969,-0.198337998,-0.102049142
2007-02-09,1438.06,11.1,40597.82,73868.21,-0.007132057,0.101190476,-0.000581466,0.006182307,-0.10034789,-0.19237093,-0.223623968,-0.067979668,-0.129765526,-0.043468902,0.936426635,-0.102871826,-0.187601395,-0.132677649
2007-02-16,1455.54,10.02,38371.57,72576.31,0.012155265,-0.097297297,-0.054836688,-0.017489256,-0.10077187,-0.194170866,-0.231052813,-0.066395977,-0.129310898,-0.057128389,0.803482445,-0.100307924,-0.189156171,-0.134449686
2007-02-23,1451.19,10.58,38485.19,71853.69,-0.002988582,0.055888224,0.002961046,-0.009956692,-0.10077747,-0.194284471,-0.231387031,-0.066395977,-0.129310898,-0.057128389,0.901741142,-0.100026885,-0.188519848,-0.124377656
2007-03-02,1387.17,18.61,48222.37,75224.75,-0.044115519,0.758979206,0.253011093,0.046915614,-0.081669854,-0.188002017,-0.28157816,-0.066395977,-0.129310898,-0.057128389,1.244459305,-0.071236881,-0.178902259,-0.278556098
2007-03-09,1402.85,14.09,44717.41,72301.67,0.011303589,-0.242880172,-0.07268328,-0.038857956,-0.079340577,-0.18572356,-0.274288054,-0.060007058,-0.127893401,-0.047607138,1.028252711,-0.06700845,-0.175811024,-0.29518269
2007-03-16,1386.94,16.79,51755.72,75441.43,-0.011341198,0.191625266,0.157395296,0.04342583,-0.080071383,-0.173983527,-0.27612498,-0.060007058,-0.127893401,-0.047607138,1.061890134,-0.067325549,-0.154664588,-0.290231933
2007-03-23,1436.11,12.95,43522.26,72339.25,0.035452146,-0.228707564,-0.159083093,-0.041120376,-0.082747499,-0.178446136,-0.302990159,-0.07087721,-0.146843732,-0.086703443,0.965903037,-0.071295713,-0.16244101,-0.349629921
2007-03-30,1420.86,14.64,46878.64,73294.7,-0.010618964,0.130501931,0.077118697,0.013207906,-0.083194057,-0.177720836,-0.306176684,-0.069321027,-0.14121633,-0.079780525,1.01309871,-0.071737927,-0.161162245,-0.35562105
2007-04-06,1443.76,13.23,44669.65,73484.31,0.016117,-0.096311475,-0.047121461,0.002586954,-0.083622116,-0.17867034,-0.303501686,-0.069455675,-0.141038797,-0.075547553,0.957629967,-0.072149287,-0.164771427,-0.355138361
2007-04-13,1452.85,12.2,42756.52,73418.36,0.00629606,-0.077853364,-0.042828408,-0.00089747,-0.082884027,-0.177637456,-0.302000794,-0.07021669,-0.145489575,-0.082691814,0.907496945,-0.071874709,-0.165366703,-0.39055308
2007-04-20,1484.35,12.07,41068.69,72234.77,0.021681523,-0.010655738,-0.039475383,-0.016121172,-0.083221524,-0.179728764,-0.307355707,-0.064797872,-0.143252455,-0.084017747,0.922682101,-0.072433396,-0.172012656,-0.401356323
2007-04-27,1494.07,12.45,41130.95,72221.01,0.006548321,0.031483016,0.001515997,-0.00019049,-0.083077994,-0.179746752,-0.308600694,-0.06617055,-0.147602275,-0.088584861,0.944367388,-0.072180932,-0.170312916,-0.428942351
2007-05-04,1505.62,12.91,41508.15,74102.81,0.007730561,0.036947791,0.00917071,0.02605613,-0.081045812,-0.175004705,-0.288592283,-0.06493186,-0.144116314,-0.09318705,0.964008363,-0.071797674,-0.168938692,-0.403083283
2007-05-11,1505.85,12.95,42071.69,74301.14,0.000152761,0.003098373,0.013576611,0.002676417,-0.080114429,-0.174852807,-0.278678253,-0.067916939,-0.148461704,-0.102972222,0.951805964,-0.071182953,-0.167769756,-0.399502164
2007-05-18,1522.75,12.76,42463.26,75990.77,0.011222897,-0.014671815,0.009307209,0.022740297,-0.081292162,-0.17484062,-0.280640782,-0.071973228,-0.147871551,-0.102626526,0.919428796,-0.071402213,-0.166772189,-0.390892678
2007-05-25,1515.73,13.34,42567.39,76130.61,-0.00461008,0.045454545,0.002452238,0.001840223,-0.081438693,-0.17533675,-0.292718647,-0.071483192,-0.148112533,-0.096840469,0.94898374,-0.071451694,-0.167075742,-0.391769995
2007-06-01,1536.34,12.78,41230.05,76170.76,0.013597409,-0.04197901,-0.031417007,0.000527383,-0.079295432,-0.174929273,-0.267694691,-0.071096454,-0.147225144,-0.094988086,0.929068439,-0.071996411,-0.169274487,-0.394728097
2007-06-08,1507.67,14.84,44863.49,79188.17,-0.018661234,0.161189358,0.088126015,0.039613757,-0.081076786,-0.176894188,-0.282197393,-0.071096454,-0.147225144,-0.094988086,0.981574223,-0.07487535,-0.171981848,-0.443558086
2007-06-15,1532.91,13.94,42441.82,76627.21,0.016741064,-0.0606469,-0.053978636,-0.032340184,-0.082739391,-0.181467826,-0.326173558,-0.070906025,-0.147573839,-0.097376499,0.971742973,-0.074827851,-0.173796549,-0.439372012
2007-06-22,1502.56,15.75,46261.14,80721.19,-0.019798944,0.129842181,0.089989543,0.053427236,-0.083961606,-0.182776998,-0.32839325,-0.07095144,-0.146440985,-0.090449982,0.998370008,-0.076638638,-0.178094487,-0.438602239
2007-06-29,1503.35,16.23,47430.71,82880.62,0.000525769,0.03047619,0.02528191,0.026751712,-0.083860602,-0.182337891,-0.328511392,-0.073704003,-0.148705154,-0.110569978,1.003200954,-0.076456948,-0.177239739,-0.426262508
2007-07-06,1530.44,14.72,45498.56,81327.2,0.018019756,-0.093037585,-0.040736266,-0.018742862,-0.083527069,-0.182525948,-0.319950973,-0.074241165,-0.148421362,-0.112508137,0.945017655,-0.077891338,-0.184634881,-0.451077806
2007-07-13,1552.5,15.15,47503.89,85427.27,0.014414155,0.029211957,0.044074582,0.050414498,-0.083435907,-0.177569583,-0.29626192,-0.069251154,-0.126655341,-0.10944416,0.924485126,-0.077900385,-0.182504072,-0.392103103
2007-07-20,1534.1,16.95,51019.4,91223.98,-0.011851852,0.118811881,0.074004676,0.067855499,-0.082130861,-0.174232432,-0.272369009,-0.062670284,-0.115434738,-0.084928571,0.956299568,-0.078481858,-0.183682677,-0.390648846
2007-07-27,1458.95,24.17,57510.74,99578.46,-0.048986376,0.425958702,0.127232778,0.09158206,-0.088496934,-0.190524418,-0.329768173,-0.059918597,-0.109929533,-0.067869224,1.211112543,-0.085805908,-0.201525457,-0.441044472
2007-08-03,1433.06,25.16,64823.93,110057.8,-0.017745639,0.040959868,0.127162161,0.105237016,-0.089095321,-0.187645284,-0.302684024,-0.059918597,-0.109929533,-0.067869224,1.120940949,-0.08546669,-0.200692327,-0.387929364
2007-08-10,1453.64,28.3,71717.22,116880.2,0.014360878,0.124801272,0.106338662,0.061989246,-0.086039978,-0.172152825,-0.270853709,-0.0428486,-0.065467557,-0.051117121,1.148339227,-0.084072438,-0.18909534,-0.352033809
2007-08-17,1445.94,29.99,79972.03,115204.2,-0.005297047,0.059717314,0.115102203,-0.014339469,-0.08603775,-0.168378955,-0.268708786,-0.0428486,-0.065467557,-0.051117121,0.997580816,-0.084089098,-0.185697289,-0.346775001
2007-08-24,1479.37,20.72,66858.99,104512.8,0.023119908,-0.309103034,-0.163970328,-0.092803908,-0.083731957,-0.163931947,-0.260608248,-0.042636895,-0.068895565,-0.070601735,0.937738411,-0.099466499,-0.166998505,-0.28689162
2007-08-31,1473.99,23.38,71305.97,109403,-0.003636683,0.128378378,0.06651282,0.046790441,-0.08318684,-0.162373104,-0.256559316,-0.042636895,-0.068895565,-0.070601735,1.003125958,-0.10802424,-0.170083963,-0.293231506
2007-09-07,1453.55,26.23,76657.88,110779.5,-0.013867123,0.121899059,0.075055567,0.012581922,-0.08350305,-0.162578723,-0.258376227,-0.042356231,-0.068419653,-0.07283355,1.061176131,-0.110618561,-0.181368428,-0.288184213
2007-09-14,1484.25,24.92,75145.06,109203.8,0.021120704,-0.049942814,-0.019734697,-0.014223751,-0.084162669,-0.163934302,-0.261612762,-0.042131718,-0.066509832,-0.074113028,1.043145463,-0.109529334,-0.184077716,-0.272579003
2007-09-21,1525.75,19,62605.68,100352.8,0.027960249,-0.237560193,-0.166868986,-0.081050293,-0.084438937,-0.161969684,-0.265883184,-0.046922861,-0.074263447,-0.096788425,0.955610801,-0.107350691,-0.172669363,-0.272055618
2007-09-28,1526.75,18,60312.4,99391.66,0.000655415,-0.052631579,-0.036630542,-0.00957761,-0.08387201,-0.160933452,-0.2643861,-0.047211435,-0.074737441,-0.097810578,0.93782098,-0.105562406,-0.167815428,-0.26621242
2007-10-05,1557.59,16.91,58163.09,98510.23,0.020199771,-0.060555556,-0.035636287,-0.008868249,-0.084410937,-0.163924552,-0.26939847,-0.047183083,-0.077021254,-0.102315455,0.908205073,-0.108645577,-0.173236957,-0.271123004
2007-10-12,1561.8,17.73,58657.61,101138.1,0.002702894,0.048492017,0.008502299,0.026676113,-0.084442375,-0.16487706,-0.276675884,-0.047676672,-0.080277118,-0.125922381,0.932106647,-0.107344394,-0.169585191,-0.263843528
2007-10-19,1500.63,22.96,68119.76,111372.9,-0.039166347,0.294980259,0.16131155,0.101196285,-0.087983964,-0.174832353,-0.294799664,-0.046808736,-0.084793628,-0.127302661,1.016910936,-0.113361082,-0.183355383,-0.289770125
2007-10-26,1535.28,19.56,63195.94,108942.2,0.023090302,-0.148083624,-0.072281817,-0.021824878,-0.088606742,-0.176172055,-0.307397486,-0.048394163,-0.087113801,-0.130444116,0.941548618,-0.114097148,-0.185763606,-0.298315856
